# h2o ns/day hours/ns timesteps/s katom-step/s s/timestep
512.0000 11.0440 2.1730 255.6510 392.6790 0.0039
4096.0000 1.9950 12.0280 46.1900 567.5840 0.0216
13824.0000 0.6160 38.9400 14.2670 591.6760 0.0701
32768.0000 0.2650 90.5090 6.1380 603.4030 0.1629
64000.0000 0.1350 177.4900 3.1300 600.9730 0.3195
110592.0000 0.0770 310.8260 1.7870 593.0010 0.5596
175616.0000 0.0480 496.6490 1.1190 589.3360 0.8937
