# gpu ns/day hours/ns timesteps/s katom-step/s s/timestep
1.0000 0.8100 29.6410 18.7430 28.7890 0.0534
2.0000 1.4290 16.7970 33.0750 50.8030 0.0302
4.0000 2.2520 10.6570 52.1290 80.0700 0.0192
8.0000 2.1630 11.0960 50.0660 76.9020 0.0200
16.0000 2.3710 10.1240 54.8740 84.2870 0.0182
32.0000 2.3170 10.3570 53.6410 82.3920 0.0186
