# gpu	ns/day	hours/ns	timesteps/s	katom-step/s	s/timestep
1	0.087233957	275.1222222	2.019304552	3.101651791	0.49522
1_unix	0.315443593	76.08333333	7.301935013	11.21577218	0.13695
2	0.125057897	191.9111111	2.894858731	4.446503011	0.34544
2_unix	0.505795574	47.45	11.70823089	17.98384264	0.08541
4	0.185662713	129.2666667	4.29774798	6.601340897	0.23268
4_unix	0.688117235	34.87777778	15.92863969	24.46639057	0.06278
8	0.498327373	48.16111111	11.53535587	17.71830661	0.08669
16	0.496266513	48.36111111	11.48765078	17.64503159	0.08705
32	0.5510907	43.55	12.75672917	19.59433601	0.07839
