# gpu ns/day hours/ns timesteps/s katom-step/s s/timestep
2.000000 0.009000 2594.141000 0.214000 225.657000 4.672897
4.000000 0.008000 2889.429000 0.192000 405.192000 5.208333
8.000000 0.006000 3791.222000 0.147000 617.623000 6.802721
16.000000 0.006000 3800.488000 0.146000 1232.000000 6.849315
