# gpu ns/day hours/ns timesteps/s Matom-step/s s/timestep
2.0000 0.0460 526.1310 1.0560 1.1130 0.9470
4.0000 0.0450 527.9990 1.0520 2.2170 0.9506
8.0000 0.0450 534.8380 1.0390 4.3780 0.9625
16.0000 0.0450 537.6240 1.0330 8.7110 0.9681
