# gpu ns/day hours/ns timesteps/s katom-step/s s/timestep
1.0000 0.0970 248.3950 2.2370 27.4830 0.4470
2.0000 0.1500 160.4720 3.4620 42.5410 0.2889
4.0000 0.1970 122.1310 4.5490 55.8960 0.2198
8.0000 0.2130 112.7730 4.9260 60.5350 0.2030
16.0000 0.2290 104.8030 5.3010 65.1380 0.1886
32.0000 0.2300 104.1500 5.3340 65.5460 0.1875
